<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/10504-1>	Rural-urban migration
<http://zbw.eu/stw/descriptor/19638-5>	Aging population
<http://zbw.eu/stw/descriptor/11888-1>	Internal migration
<http://zbw.eu/stw/descriptor/14515-4>	Television set
<http://zbw.eu/stw/descriptor/26312-2>	Iranians
<http://zbw.eu/stw/thsys/70504>	V.14.01  Social economics
<http://zbw.eu/stw/descriptor/16480-1>	Youth policy
<http://zbw.eu/stw/descriptor/12508-4>	Unit costs
<http://zbw.eu/stw/descriptor/10487-3>	Appropriate technology
<http://zbw.eu/stw/descriptor/19553-6>	Low income
<http://zbw.eu/stw/descriptor/13527-2>	Rail track
<http://zbw.eu/stw/descriptor/16229-2>	Utopia
<http://zbw.eu/stw/descriptor/26806-5>	Czechs
<http://zbw.eu/stw/descriptor/19767-1>	Labour market research
<http://zbw.eu/stw/descriptor/10770-1>	Foreign exchange reserves
<http://zbw.eu/stw/descriptor/13370-2>	Physicians
<http://zbw.eu/stw/descriptor/18770-3>	Economic data
<http://zbw.eu/stw/descriptor/18595-2>	Container shipping
<http://zbw.eu/stw/descriptor/13745-6>	Zero-coupon bond
<http://zbw.eu/stw/descriptor/18325-3>	Sustainable development
<http://zbw.eu/stw/descriptor/13164-5>	Tobacco industry
<http://zbw.eu/stw/descriptor/10326-6>	Production factor
<http://zbw.eu/stw/descriptor/10758-5>	Special drawing rights
<http://zbw.eu/stw/descriptor/26704-6>	Singaporean
<http://zbw.eu/stw/descriptor/17951-4>	Vanuatu
<http://zbw.eu/stw/descriptor/18308-3>	Employment distribution
<http://zbw.eu/stw/descriptor/13949-4>	Food processing occupations
<http://zbw.eu/stw/descriptor/12949-2>	Crop production
<http://zbw.eu/stw/descriptor/19766-3>	Sociology of knowledge
<http://zbw.eu/stw/thsys/70888>	W.17.01  Housing sector
<http://zbw.eu/stw/descriptor/18252-4>	Medical technology
<http://zbw.eu/stw/descriptor/19846-5>	Consumer boycott
<http://zbw.eu/stw/descriptor/19041-5>	Criticism
<http://zbw.eu/stw/descriptor/28213-1>	Intuition
<http://zbw.eu/stw/descriptor/14151-2>	Rubber
<http://zbw.eu/stw/descriptor/12408-1>	Accounting valuation
<http://zbw.eu/stw/descriptor/19809-4>	Virtual reality
<http://zbw.eu/stw/descriptor/10763-5>	US dollar
<http://zbw.eu/stw/descriptor/10346-0>	Business cycle synchronization
<http://zbw.eu/stw/descriptor/18666-5>	Mobile communications
<http://zbw.eu/stw/descriptor/14106-0>	Pulses
<http://zbw.eu/stw/descriptor/30071-1>	Problem solving
<http://zbw.eu/stw/descriptor/15411-4>	Probit model
<http://zbw.eu/stw/descriptor/10699-2>	Import restrictions
<http://zbw.eu/stw/descriptor/10227-1>	Perfect competition
<http://zbw.eu/stw/descriptor/13784-3>	Deposit banking
<http://zbw.eu/stw/descriptor/18510-1>	Handicraft cooperative
<http://zbw.eu/stw/descriptor/19467-6>	Local development
<http://zbw.eu/stw/descriptor/11391-4>	Further training
<http://zbw.eu/stw/descriptor/18782-3>	University research
<http://zbw.eu/stw/descriptor/17928-6>	Peru
<http://zbw.eu/stw/descriptor/19941-4>	European state aid law
<http://zbw.eu/stw/descriptor/19302-3>	Wheat production
<http://zbw.eu/stw/descriptor/10255-3>	Phillips curve
<http://zbw.eu/stw/descriptor/11783-1>	Firm size distribution
<http://zbw.eu/stw/descriptor/19309-3>	Market integration
<http://zbw.eu/stw/descriptor/12844-2>	Advertising planning
<http://zbw.eu/stw/descriptor/13309-5>	Communal catering
<http://zbw.eu/stw/descriptor/11059-5>	Social market economy
<http://zbw.eu/stw/descriptor/19415-4>	Flat tax
<http://zbw.eu/stw/descriptor/26190-4>	Chilean
<http://zbw.eu/stw/descriptor/29844-3>	Assignment problem
<http://zbw.eu/stw/descriptor/28007-4>	Micropolitics
<http://zbw.eu/stw/descriptor/10310-0>	Single product manufacturing
<http://zbw.eu/stw/descriptor/14749-0>	Printer
<http://zbw.eu/stw/descriptor/19408-1>	Tax rate
<http://zbw.eu/stw/descriptor/26538-4>	North American
<http://zbw.eu/stw/descriptor/26226-2>	Estonian
<http://zbw.eu/stw/descriptor/10210-4>	Option pricing theory
<http://zbw.eu/stw/descriptor/10031-4>	Economic forecast
<http://zbw.eu/stw/descriptor/12432-4>	Principle of prudence
<http://zbw.eu/stw/descriptor/28001-2>	Self-assessment
<http://zbw.eu/stw/descriptor/12275-1>	Profit
<http://zbw.eu/stw/descriptor/18865-6>	Rural education
<http://zbw.eu/stw/descriptor/12648-2>	Materials management
<http://zbw.eu/stw/descriptor/12307-0>	Accounting
<http://zbw.eu/stw/descriptor/14583-1>	Video game
<http://zbw.eu/stw/descriptor/18539-5>	Foreign exchange management
<http://zbw.eu/stw/descriptor/16286-4>	Political unrest
<http://zbw.eu/stw/descriptor/10774-0>	Central bank
<http://zbw.eu/stw/descriptor/13638-0>	Tourism economics
<http://zbw.eu/stw/descriptor/18909-5>	EU social policy
<http://zbw.eu/stw/descriptor/18935-4>	Television industry
<http://zbw.eu/stw/descriptor/29706-1>	Microinsurance
<http://zbw.eu/stw/descriptor/19600-2>	Humor
<http://zbw.eu/stw/thsys/71071>	V.10.05  Competition policy
<http://zbw.eu/stw/descriptor/17652-0>	Sub-Saharan Africa
<http://zbw.eu/stw/descriptor/29815-3>	Consumer attitudes
<http://zbw.eu/stw/descriptor/18965-2>	Packaging recycling
<http://zbw.eu/stw/descriptor/19628-1>	Protected area
<http://zbw.eu/stw/descriptor/13117-0>	Pulp and paper industry
<http://zbw.eu/stw/descriptor/18659-2>	Internet
<http://zbw.eu/stw/descriptor/10671-3>	Monetary approach to exchange rates
<http://zbw.eu/stw/descriptor/13498-4>	Charter traffic
<http://zbw.eu/stw/descriptor/19511-1>	Assistance for ex-offenders
<http://zbw.eu/stw/descriptor/30078-1>	Serbia
<http://zbw.eu/stw/descriptor/30089-3>	Hong Kong
<http://zbw.eu/stw/descriptor/15468-3>	Decision under uncertainty
<http://zbw.eu/stw/descriptor/19036-5>	Reform
<http://zbw.eu/stw/descriptor/11314-1>	Employment relations
<http://zbw.eu/stw/descriptor/14509-6>	Refrigerator
<http://zbw.eu/stw/descriptor/19022-2>	Birds
<http://zbw.eu/stw/thsys/72186>	N.09.02.06  Statistical inference
<http://zbw.eu/stw/descriptor/14743-5>	Paints
<http://zbw.eu/stw/descriptor/11134-3>	Industrial combine
<http://zbw.eu/stw/descriptor/12905-1>	Construction industry
<http://zbw.eu/stw/descriptor/16402-0>	Social democracy
<http://zbw.eu/stw/descriptor/30042-1>	Betting
<http://zbw.eu/stw/descriptor/20762-1>	Emissions trading
<http://zbw.eu/stw/descriptor/11968-3>	Medium-sized city
<http://zbw.eu/stw/descriptor/29888-4>	Partial least squares
<http://zbw.eu/stw/descriptor/13594-1>	Transport geography
<http://zbw.eu/stw/descriptor/13475-2>	Salespeople
<http://zbw.eu/stw/descriptor/17962-6>	Mediterranean Sea
<http://zbw.eu/stw/descriptor/24786-2>	Life annuity
<http://zbw.eu/stw/descriptor/12357-6>	Balance sheet
<http://zbw.eu/stw/descriptor/15988-5>	Waste legislation
<http://zbw.eu/stw/descriptor/16019-6>	Administrative law
<http://zbw.eu/stw/descriptor/19237-2>	Social accounting matrix
<http://zbw.eu/stw/descriptor/15958-0>	Resettlement
<http://zbw.eu/stw/descriptor/12418-5>	Equity method
<http://zbw.eu/stw/descriptor/15646-5>	Hinduism
<http://zbw.eu/stw/descriptor/18241-2>	Container terminal
<http://zbw.eu/stw/descriptor/18017-0>	Information management
<http://zbw.eu/stw/descriptor/15715-5>	Social situation
<http://zbw.eu/stw/descriptor/29675-0>	Renminbi
<http://zbw.eu/stw/descriptor/30080-0>	Kosovo
<http://zbw.eu/stw/descriptor/16611-5>	Middle class
<http://zbw.eu/stw/descriptor/18785-4>	Research expenditure
<http://zbw.eu/stw/descriptor/10706-3>	Non-tariff barriers
<http://zbw.eu/stw/descriptor/19121-0>	Marketing theory
<http://zbw.eu/stw/descriptor/29963-2>	Maize price
<http://zbw.eu/stw/descriptor/18923-4>	Cultural management
<http://zbw.eu/stw/descriptor/13485-6>	Customer analysis
<http://zbw.eu/stw/descriptor/13964-1>	Engineering management
<http://zbw.eu/stw/descriptor/17636-5>	Syria
<http://zbw.eu/stw/descriptor/17980-4>	Benelux countries
<http://zbw.eu/stw/descriptor/15677-1>	Process engineering
<http://zbw.eu/stw/descriptor/12337-5>	Accounting standards
<http://zbw.eu/stw/descriptor/13410-2>	Court system
<http://zbw.eu/stw/thsys/70321>	N.06.02  Society and social change
<http://zbw.eu/stw/descriptor/13221-5>	Petroleum trading
<http://zbw.eu/stw/descriptor/18337-3>	Deforestation
<http://zbw.eu/stw/descriptor/19120-2>	Sales information system
<http://zbw.eu/stw/descriptor/18879-2>	Higher education finance
<http://zbw.eu/stw/descriptor/30168-0>	User experience
<http://zbw.eu/stw/descriptor/18070-3>	Creativity
<http://zbw.eu/stw/descriptor/29673-4>	Endogenous money
<http://zbw.eu/stw/descriptor/11552-6>	Infrastructure investment
<http://zbw.eu/stw/descriptor/29572-3>	Forest conservation
<http://zbw.eu/stw/descriptor/18643-3>	Telecommunications law
<http://zbw.eu/stw/descriptor/12927-5>	Tourism industry
<http://zbw.eu/stw/descriptor/26405-2>	Cubans
<http://zbw.eu/stw/descriptor/11504-3>	Indexation
<http://zbw.eu/stw/descriptor/12963-1>	Inland fisheries
<http://zbw.eu/stw/descriptor/18609-3>	International passenger traffic
<http://zbw.eu/stw/descriptor/18538-0>	Export sector
<http://zbw.eu/stw/descriptor/24707-3>	Herding
<http://zbw.eu/stw/descriptor/19114-4>	Computer-aided logistics
<http://zbw.eu/stw/descriptor/15605-5>	Data security
<http://zbw.eu/stw/descriptor/10631-1>	Gains from trade
<http://zbw.eu/stw/descriptor/26362-1>	Cambodians
<http://zbw.eu/stw/descriptor/16978-3>	Valais
<http://zbw.eu/stw/descriptor/19336-0>	Euro area
<http://zbw.eu/stw/descriptor/19773-6>	Community work
<http://zbw.eu/stw/descriptor/30064-5>	Counter-terrorism
<http://zbw.eu/stw/thsys/70438>	G.01.05.02  Austria
<http://zbw.eu/stw/descriptor/19162-0>	Coordination
<http://zbw.eu/stw/descriptor/28794-4>	Patients
<http://zbw.eu/stw/descriptor/19062-4>	Industrial distributors
<http://zbw.eu/stw/descriptor/12928-3>	Eco-industries
<http://zbw.eu/stw/descriptor/13457-4>	Retail chain
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/thsys/194915>	V.08.02  Social inequality and political instability
<http://zbw.eu/stw/descriptor/14308-2>	Silver
<http://zbw.eu/stw/descriptor/15761-5>	Environmental standard
<http://zbw.eu/stw/descriptor/11580-1>	Public procurement law
<http://zbw.eu/stw/thsys/71066>	V.11.03  Land economics
<http://zbw.eu/stw/descriptor/14792-6>	Basketware
<http://zbw.eu/stw/descriptor/17982-0>	EFTA countries
<http://zbw.eu/stw/descriptor/18784-6>	Research funding
<http://zbw.eu/stw/descriptor/10349-1>	Inventory cycle
<http://zbw.eu/stw/descriptor/11809-2>	Agrarian reform
<http://zbw.eu/stw/descriptor/13839-4>	Rental housing
<http://zbw.eu/stw/descriptor/15918-5>	Ethnic group
<http://zbw.eu/stw/descriptor/15930-1>	Nomads
<http://zbw.eu/stw/descriptor/18083-1>	Self-employed
<http://zbw.eu/stw/thsys/71009>	W.05.01  Mining
<http://zbw.eu/stw/descriptor/10034-5>	Adaptive expectations
<http://zbw.eu/stw/descriptor/16271-3>	Military-industrial complex
<http://zbw.eu/stw/descriptor/19352-2>	EU membership
<http://zbw.eu/stw/descriptor/18903-3>	Hospital financing
<http://zbw.eu/stw/descriptor/13694-4>	Deposit insurance
<http://zbw.eu/stw/descriptor/10562-1>	Growth pole
<http://zbw.eu/stw/descriptor/18225-0>	Slovakia
<http://zbw.eu/stw/descriptor/29719-6>	State government revenue
<http://zbw.eu/stw/descriptor/11667-3>	Vehicle tax
<http://zbw.eu/stw/thsys/73379>	N.04.03.02  Parliament
<http://zbw.eu/stw/descriptor/10016-0>	Product
<http://zbw.eu/stw/descriptor/14346-1>	Vending machine industry
<http://zbw.eu/stw/descriptor/13205-3>	Fishmongers
<http://zbw.eu/stw/thsys/70578>	B.03.02  Managerial accounting
<http://zbw.eu/stw/descriptor/16531-3>	Work disability
<http://zbw.eu/stw/descriptor/19256-5>	Buffer stock demand for money
<http://zbw.eu/stw/descriptor/18915-3>	Do it yourself
<http://zbw.eu/stw/descriptor/15460-5>	Repeated games
<http://zbw.eu/stw/descriptor/16397-2>	Anarchy
<http://zbw.eu/stw/descriptor/18869-5>	Knowledge transfer
<http://zbw.eu/stw/descriptor/28488-4>	Chronology
<http://zbw.eu/stw/descriptor/14808-3>	Graphic paper
<http://zbw.eu/stw/descriptor/17595-0>	Central Asia
<http://zbw.eu/stw/descriptor/12155-4>	Quality circle
<http://zbw.eu/stw/descriptor/16292-2>	Political system
<http://zbw.eu/stw/descriptor/14940-3>	Bakery product
<http://zbw.eu/stw/thsys/71057>	V.13.07  Occupational groups
<http://zbw.eu/stw/descriptor/18900-2>	Smoking
<http://zbw.eu/stw/descriptor/12758-2>	Production planning
<http://zbw.eu/stw/thsys/71068>	V.11.08  Spatial statistics
<http://zbw.eu/stw/descriptor/17806-6>	North America
<http://zbw.eu/stw/descriptor/28329-3>	Employer fraud
<http://zbw.eu/stw/descriptor/12028-4>	Real estate law
<http://zbw.eu/stw/descriptor/13160-6>	Food industry
<http://zbw.eu/stw/descriptor/19404-2>	Tax competition
<http://zbw.eu/stw/descriptor/18178-4>	Loan repayment
<http://zbw.eu/stw/descriptor/13504-0>	Scheduled transport
<http://zbw.eu/stw/descriptor/16471-2>	Military intervention
<http://zbw.eu/stw/descriptor/12898-0>	Financial statement audit
<http://zbw.eu/stw/descriptor/14279-4>	High-grade steel
<http://zbw.eu/stw/descriptor/18274-1>	Photovoltaics
<http://zbw.eu/stw/thsys/70080>	G.04.02  North America
<http://zbw.eu/stw/descriptor/29551-4>	SME management
<http://zbw.eu/stw/thsys/180739>	B.01.02.01  Organizational structure
<http://zbw.eu/stw/descriptor/11496-4>	Deflation
<http://zbw.eu/stw/thsys/70245>	B.04.02  Recruitment and human resource development
<http://zbw.eu/stw/descriptor/12617-6>	Organizational psychology
<http://zbw.eu/stw/descriptor/26645-3>	Swedish
<http://zbw.eu/stw/descriptor/29980-2>	Multicollinearity
<http://zbw.eu/stw/descriptor/10395-1>	Policy mix
<http://zbw.eu/stw/descriptor/12065-5>	Production
<http://zbw.eu/stw/thsys/70904>	W.14.01  Banking industry
<http://zbw.eu/stw/descriptor/10728-0>	Bretton Woods System
<http://zbw.eu/stw/descriptor/13385-3>	Private security industry
<http://zbw.eu/stw/descriptor/13422-2>	Constitutional court
<http://zbw.eu/stw/descriptor/16654-1>	Social exclusion
<http://zbw.eu/stw/descriptor/14305-1>	Nickel
<http://zbw.eu/stw/descriptor/13543-4>	Coastal shipping
<http://zbw.eu/stw/descriptor/19447-5>	Regional revitalization
<http://zbw.eu/stw/descriptor/29231-1>	RFID
<http://zbw.eu/stw/descriptor/18123-1>	Union behaviour
<http://zbw.eu/stw/descriptor/18917-6>	Economics of leisure
<http://zbw.eu/stw/descriptor/10754-6>	Reserve currency
<http://zbw.eu/stw/descriptor/19817-5>	European environmental law
<http://zbw.eu/stw/descriptor/10757-0>	Swiss franc
<http://zbw.eu/stw/descriptor/12643-5>	Just in time
<http://zbw.eu/stw/descriptor/18139-0>	Operating system
<http://zbw.eu/stw/descriptor/15093-6>	Price index
<http://zbw.eu/stw/descriptor/16760-2>	Information science
<http://zbw.eu/stw/descriptor/18012-3>	Germany
<http://zbw.eu/stw/descriptor/19756-6>	Gender discrimination
<http://zbw.eu/stw/descriptor/17977-0>	ACP countries
<http://zbw.eu/stw/descriptor/14527-4>	Ophthalmic products
<http://zbw.eu/stw/descriptor/19360-3>	Remittances
<http://zbw.eu/stw/descriptor/10085-2>	Temporary equilibrium
<http://zbw.eu/stw/descriptor/13483-3>	Speciality shop
<http://zbw.eu/stw/descriptor/13671-2>	Office technology
<http://zbw.eu/stw/thsys/70822>	W.30.01  Libraries
<http://zbw.eu/stw/descriptor/29594-0>	Gold market
<http://zbw.eu/stw/descriptor/18066-1>	Product counterfeiting
<http://zbw.eu/stw/descriptor/28187-4>	Internal branding
<http://zbw.eu/stw/descriptor/10658-2>	Inter-regional trade
<http://zbw.eu/stw/descriptor/20987-5>	Niue
<http://zbw.eu/stw/descriptor/29838-5>	Chocolate
<http://zbw.eu/stw/descriptor/19191-0>	Farm management
<http://zbw.eu/stw/descriptor/18410-5>	Power plant construction
<http://zbw.eu/stw/descriptor/26554-6>	Austrians
<http://zbw.eu/stw/descriptor/18297-3>	Aircraft parts
<http://zbw.eu/stw/descriptor/15102-3>	Income statistics
<http://zbw.eu/stw/descriptor/10902-3>	Market share
<http://zbw.eu/stw/descriptor/19498-2>	Women's unemployment
<http://zbw.eu/stw/descriptor/10684-1>	Trade promotion
<http://zbw.eu/stw/descriptor/29581-2>	International environmental law
<http://zbw.eu/stw/descriptor/17915-1>	Brazil
<http://zbw.eu/stw/descriptor/18199-3>	Coca
<http://zbw.eu/stw/descriptor/13157-2>	Beverage industry
<http://zbw.eu/stw/descriptor/15669-0>	Physics
<http://zbw.eu/stw/descriptor/29652-5>	Audit committee
<http://zbw.eu/stw/descriptor/10858-1>	Foreign trade risk
<http://zbw.eu/stw/descriptor/17934-4>	Venezuela
<http://zbw.eu/stw/descriptor/15746-1>	Nature conservation
<http://zbw.eu/stw/descriptor/10180-1>	Consumer surplus
<http://zbw.eu/stw/descriptor/13644-5>	Tourism
<http://zbw.eu/stw/descriptor/29243-1>	Radio industry
<http://zbw.eu/stw/descriptor/13249-4>	Local public transport
<http://zbw.eu/stw/descriptor/19760-1>	Age group
<http://zbw.eu/stw/descriptor/29669-2>	Dual income tax
<http://zbw.eu/stw/thsys/70087>	B.01.04  Legal forms of organization
<http://zbw.eu/stw/descriptor/12964-6>	Fisheries
<http://zbw.eu/stw/descriptor/12166-6>	Early warning system
<http://zbw.eu/stw/descriptor/27963-5>	Consumer motivation
<http://zbw.eu/stw/descriptor/11498-0>	Fisher effect
<http://zbw.eu/stw/descriptor/15694-1>	Cultural history
<http://zbw.eu/stw/descriptor/12670-2>	Logistics
<http://zbw.eu/stw/descriptor/12779-1>	Big event
<http://zbw.eu/stw/descriptor/13007-0>	Tyre industry
<http://zbw.eu/stw/descriptor/11686-6>	Ability-to-pay principle
<http://zbw.eu/stw/descriptor/15731-0>	Sewerage system
<http://zbw.eu/stw/descriptor/15619-1>	Programming language
<http://zbw.eu/stw/descriptor/10876-6>	International marketing
<http://zbw.eu/stw/descriptor/29944-6>	Structural equation model
<http://zbw.eu/stw/descriptor/13202-2>	Electrical goods trade
<http://zbw.eu/stw/descriptor/10610-2>	Economic reconstruction
<http://zbw.eu/stw/descriptor/17184-0>	Greece
<http://zbw.eu/stw/descriptor/18011-5>	Deregulation
<http://zbw.eu/stw/descriptor/10209-3>	Oligopoly
<http://zbw.eu/stw/descriptor/11272-5>	Employment
<http://zbw.eu/stw/descriptor/19292-1>	Feed market
<http://zbw.eu/stw/descriptor/27390-5>	Entrepreneurship education
<http://zbw.eu/stw/descriptor/12969-3>	Aquaculture
<http://zbw.eu/stw/descriptor/12705-2>	Manufacturing plant
<http://zbw.eu/stw/descriptor/14190-6>	Bauxite
<http://zbw.eu/stw/descriptor/19738-1>	Confucianism
<http://zbw.eu/stw/descriptor/14938-4>	Pasta
<http://zbw.eu/stw/descriptor/29687-0>	HIPC initiative
<http://zbw.eu/stw/descriptor/18309-1>	Interindustry wage structure
<http://zbw.eu/stw/thsys/70348>	P.06  Nonmetallic minerals
<http://zbw.eu/stw/descriptor/26580-5>	Pakistani
<http://zbw.eu/stw/descriptor/11532-5>	Tax court
<http://zbw.eu/stw/thsys/70174>	G.01.02  Eastern Europe
<http://zbw.eu/stw/descriptor/12480-0>	Cost accounting
<http://zbw.eu/stw/descriptor/10661-6>	Non-tradables
<http://zbw.eu/stw/descriptor/13244-0>	Road freight transport
<http://zbw.eu/stw/descriptor/12492-0>	Indirect costs
<http://zbw.eu/stw/descriptor/18415-2>	Packaging machinery industry
<http://zbw.eu/stw/descriptor/18101-4>	Services marketing
<http://zbw.eu/stw/descriptor/18832-0>	Self-interest
<http://zbw.eu/stw/descriptor/10182-4>	Consumer demand theory
<http://zbw.eu/stw/descriptor/13704-6>	Real estate fund
<http://zbw.eu/stw/descriptor/30028-2>	Cultural studies
<http://zbw.eu/stw/descriptor/29242-3>	Broadcasting market
<http://zbw.eu/stw/descriptor/15744-5>	Marine pollution
<http://zbw.eu/stw/descriptor/19323-2>	Right of establishment
<http://zbw.eu/stw/descriptor/14122-2>	Meat
<http://zbw.eu/stw/thsys/197040>	P.19.06  Cereal products
<http://zbw.eu/stw/descriptor/15872-3>	Geography
<http://zbw.eu/stw/descriptor/11974-1>	Urban transport
<http://zbw.eu/stw/descriptor/10432-0>	Turnpike theorem
<http://zbw.eu/stw/descriptor/12129-5>	Organizational aids
<http://zbw.eu/stw/descriptor/19682-2>	Oligarchy
<http://zbw.eu/stw/descriptor/15478-0>	Risk seeking
<http://zbw.eu/stw/descriptor/16515-1>	Cultural policy
<http://zbw.eu/stw/descriptor/29981-0>	Design of experiments
<http://zbw.eu/stw/descriptor/11710-0>	Rules of origin
<http://zbw.eu/stw/descriptor/10852-6>	Foreign trade sector
<http://zbw.eu/stw/descriptor/18122-3>	Commercial real estate
<http://zbw.eu/stw/descriptor/10381-5>	Countercyclical fiscal policy
<http://zbw.eu/stw/descriptor/18871-4>	Graduate economics education
<http://zbw.eu/stw/thsys/70086>	G.04.01  Central America
<http://zbw.eu/stw/descriptor/12717-2>	Construction site
<http://zbw.eu/stw/descriptor/18940-4>	Digital preservation
<http://zbw.eu/stw/descriptor/14188-0>	Water
<http://zbw.eu/stw/descriptor/29678-1>	Precautionary saving
<http://zbw.eu/stw/thsys/71085>	V.08.03.01  Economic development
<http://zbw.eu/stw/descriptor/11694-0>	Theory of taxation
<http://zbw.eu/stw/descriptor/12055-1>	Conglomerate
<http://zbw.eu/stw/descriptor/19540-1>	Budget constraint
<http://zbw.eu/stw/descriptor/11596-0>	Public budget
<http://zbw.eu/stw/descriptor/13756-1>	Banking services
<http://zbw.eu/stw/descriptor/18444-2>	Health risk
<http://zbw.eu/stw/thsys/70892>	W.16  Insurance industry
<http://zbw.eu/stw/descriptor/14269-0>	Metal product
<http://zbw.eu/stw/descriptor/26225-4>	Estonians
<http://zbw.eu/stw/thsys/71011>	W.04.02  Water Industry
<http://zbw.eu/stw/descriptor/10207-0>	Moral hazard
<http://zbw.eu/stw/descriptor/11352-0>	General education
<http://zbw.eu/stw/descriptor/11392-2>	Vocational training policy
<http://zbw.eu/stw/descriptor/27842-3>	Coping strategy
<http://zbw.eu/stw/descriptor/17616-4>	Gulf countries
<http://zbw.eu/stw/descriptor/11213-0>	Frictional unemployment
<http://zbw.eu/stw/descriptor/10294-0>	Theory of aggregate investment
<http://zbw.eu/stw/descriptor/26502-4>	Montenegrins
<http://zbw.eu/stw/descriptor/15675-5>	Sports
<http://zbw.eu/stw/descriptor/19076-0>	Southern Germany
<http://zbw.eu/stw/descriptor/18546-1>	Retail location
<http://zbw.eu/stw/descriptor/29827-3>	Airship
<http://zbw.eu/stw/descriptor/11207-2>	Regional labour market
<http://zbw.eu/stw/descriptor/16330-6>	Head of government
<http://zbw.eu/stw/descriptor/29834-6>	Textiles market
<http://zbw.eu/stw/descriptor/10833-3>	Foreign trade
<http://zbw.eu/stw/descriptor/14273-2>	Scrap metal
<http://zbw.eu/stw/descriptor/10898-3>	Countervailing power
<http://zbw.eu/stw/descriptor/16732-0>	Philosophy of science
<http://zbw.eu/stw/descriptor/18956-3>	Sport organization
<http://zbw.eu/stw/descriptor/29234-2>	Ontology
<http://zbw.eu/stw/descriptor/18292-6>	Teaching aid
<http://zbw.eu/stw/descriptor/27721-1>	Divisional structure
<http://zbw.eu/stw/descriptor/20176-0>	Credence goods
<http://zbw.eu/stw/descriptor/29712-6>	Fund management
<http://zbw.eu/stw/descriptor/12244-5>	Capital structure
<http://zbw.eu/stw/thsys/70829>	W.27  Leisure industries
<http://zbw.eu/stw/descriptor/10324-3>	Multistage production
<http://zbw.eu/stw/descriptor/13207-6>	Beverage trading
<http://zbw.eu/stw/descriptor/18892-3>	Preventive care
<http://zbw.eu/stw/descriptor/19828-0>	Risk measure
<http://zbw.eu/stw/descriptor/19319-0>	Strategic trade policy
<http://zbw.eu/stw/descriptor/12805-5>	Product design
<http://zbw.eu/stw/descriptor/10361-4>	Business cycle analysis
<http://zbw.eu/stw/descriptor/30135-1>	USAN countries
<http://zbw.eu/stw/descriptor/16184-5>	International agreement
<http://zbw.eu/stw/descriptor/12196-4>	Corporate conversion
<http://zbw.eu/stw/descriptor/12574-5>	Employee appraisal
<http://zbw.eu/stw/descriptor/16311-3>	Referendum
<http://zbw.eu/stw/descriptor/20948-1>	Intrapreneurship
<http://zbw.eu/stw/descriptor/17811-6>	Canada
<http://zbw.eu/stw/descriptor/19470-3>	Local public services
<http://zbw.eu/stw/thsys/70239>	V.12.01.01  Environmental policy
<http://zbw.eu/stw/descriptor/13242-4>	Inland waterway transport
<http://zbw.eu/stw/descriptor/26251-3>	French (People)
<http://zbw.eu/stw/descriptor/30018-5>	Pre-colonial period
<http://zbw.eu/stw/descriptor/10722-5>	Exchange rate policy
<http://zbw.eu/stw/descriptor/19212-4>	Leviathan model
<http://zbw.eu/stw/descriptor/10342-1>	Macroeconomic performance
<http://zbw.eu/stw/descriptor/15949-1>	Mortality
<http://zbw.eu/stw/descriptor/13691-3>	Banking history
<http://zbw.eu/stw/descriptor/29001-4>	Selection
<http://zbw.eu/stw/descriptor/12384-3>	Authoritative principle
<http://zbw.eu/stw/descriptor/13151-0>	Brewery
<http://zbw.eu/stw/descriptor/13185-4>	Plumbing
<http://zbw.eu/stw/descriptor/13890-4>	Electricians
<http://zbw.eu/stw/descriptor/29650-2>	Cameral accounting
<http://zbw.eu/stw/descriptor/11064-5>	Barter economy
<http://zbw.eu/stw/descriptor/11863-3>	Hinterland
<http://zbw.eu/stw/descriptor/27586-2>	Complexity management
<http://zbw.eu/stw/descriptor/29881-4>	Dominant strategy
<http://zbw.eu/stw/descriptor/10247-2>	Keynesian economics
<http://zbw.eu/stw/descriptor/14914-4>	Knitwear
<http://zbw.eu/stw/descriptor/18371-3>	Natural gas policy
<http://zbw.eu/stw/descriptor/14738-5>	Soap
<http://zbw.eu/stw/descriptor/15498-1>	Heuristics
<http://zbw.eu/stw/descriptor/15466-0>	Decision
<http://zbw.eu/stw/descriptor/11374-4>	Teaching profession
<http://zbw.eu/stw/descriptor/29885-3>	Stochastic volatility
<http://zbw.eu/stw/descriptor/18820-0>	Fire protection
<http://zbw.eu/stw/descriptor/10305-0>	CES production function
<http://zbw.eu/stw/descriptor/10930-5>	Price-fixing cartel
<http://zbw.eu/stw/descriptor/29920-6>	Utility maximization
<http://zbw.eu/stw/thsys/70049>	V.01  Economic theory and methodology
<http://zbw.eu/stw/descriptor/15965-3>	Natural law
<http://zbw.eu/stw/descriptor/14450-6>	Warship
<http://zbw.eu/stw/descriptor/11326-1>	Labor share
<http://zbw.eu/stw/descriptor/12370-0>	Corporate annual report
<http://zbw.eu/stw/descriptor/10302-6>	Luxury goods
<http://zbw.eu/stw/descriptor/13269-5>	Local area network
<http://zbw.eu/stw/descriptor/17749-6>	Morocco
<http://zbw.eu/stw/descriptor/29911-0>	Outliers
<http://zbw.eu/stw/descriptor/18290-3>	Liquid cristal display
