<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p15933>	child policy
<http://www.yso.fi/onto/yso/p22119>	employment and economic development offices
<http://www.yso.fi/onto/yso/p27560>	Amaryllidaceae
<http://www.yso.fi/onto/yso/p5064>	transparent weaves
<http://www.yso.fi/onto/yso/p8797>	hydrofoil vessels
<http://www.yso.fi/onto/yso/p8970>	authors
<http://www.yso.fi/onto/yso/p7640>	Permian peoples
<http://www.yso.fi/onto/yso/p7078>	house calls
<http://www.yso.fi/onto/yso/p17468>	Nuclear Non-Proliferation Treaty
<http://www.yso.fi/onto/yso/p11124>	film sector
<http://www.yso.fi/onto/yso/p14695>	Ranunculaceae
<http://www.yso.fi/onto/yso/p6341>	fractals
<http://www.yso.fi/onto/yso/p858>	accessibility
<http://www.yso.fi/onto/yso/p3021>	organ system
<http://www.yso.fi/onto/yso/p5390>	assault and battery
<http://www.yso.fi/onto/yso/p14895>	hesychasm
<http://www.yso.fi/onto/yso/p37770>	Pleistocene
<http://www.yso.fi/onto/yso/p12075>	canoe camping
<http://www.yso.fi/onto/yso/p2038>	metal workers
<http://www.yso.fi/onto/yso/p1599>	dining areas
<http://www.yso.fi/onto/yso/p29955>	chorale preludes
<http://www.yso.fi/onto/yso/p1031>	system of higher education
<http://www.yso.fi/onto/yso/p121636>	Pihlajavesi
<http://www.yso.fi/onto/yso/p2083>	companies (military detachments)
<http://www.yso.fi/onto/yso/p2386>	energy saving
<http://www.yso.fi/onto/yso/p29405>	Slavic literature
<http://www.yso.fi/onto/yso/p231>	fundamental rights
<http://www.yso.fi/onto/yso/p20267>	mycelium
<http://www.yso.fi/onto/yso/p1987>	invoicing
<http://www.yso.fi/onto/yso/p19945>	Russula
<http://www.yso.fi/onto/yso/p12900>	social technology
<http://www.yso.fi/onto/yso/p38198>	funnel-beaker culture
<http://www.yso.fi/onto/yso/p5303>	dyslexia
<http://www.yso.fi/onto/yso/p192073>	Lappee
<http://www.yso.fi/onto/yso/p29034>	motor learning
<http://www.yso.fi/onto/yso/p29892>	calypso
<http://www.yso.fi/onto/yso/p1167>	liquid fuels
<http://www.yso.fi/onto/yso/p6666>	magnetic disks
<http://www.yso.fi/onto/yso/p110394>	Liepāja
<http://www.yso.fi/onto/yso/p6897>	tectonics
<http://www.yso.fi/onto/yso/p25585>	chief mechanic engineers
<http://www.yso.fi/onto/yso/p17961>	capitals of culture
<http://www.yso.fi/onto/yso/p24033>	chip cards
<http://www.yso.fi/onto/yso/p27866>	malondialdehyde
<http://www.yso.fi/onto/yso/p3568>	ferret
<http://www.yso.fi/onto/yso/p16865>	Visual J++
<http://www.yso.fi/onto/yso/p20516>	icebergs
<http://www.yso.fi/onto/yso/p9189>	competitive strength
<http://www.yso.fi/onto/yso/p21152>	Campanulaceae
<http://www.yso.fi/onto/yso/p3031>	ringette
<http://www.yso.fi/onto/yso/p10080>	archipelago traffic
<http://www.yso.fi/onto/yso/p27160>	Sherpas
<http://www.yso.fi/onto/yso/p21215>	sea level changes
<http://www.yso.fi/onto/yso/p6256>	demand
<http://www.yso.fi/onto/yso/p9070>	visual arts policy
<http://www.yso.fi/onto/yso/p23585>	personnel administrators
<http://www.yso.fi/onto/yso/p22946>	surprises
<http://www.yso.fi/onto/yso/p13777>	countryside
<http://www.yso.fi/onto/yso/p23211>	Act on the Environmental Assessment of Authorities' Plans and Programmes
<http://www.yso.fi/onto/yso/p22352>	ecological planning
<http://www.yso.fi/onto/yso/p113082>	Vuotjärvi
<http://www.yso.fi/onto/yso/p17265>	town and city councillors
<http://www.yso.fi/onto/yso/p28990>	hemin
<http://www.yso.fi/onto/yso/p31044>	arabesques (art)
<http://www.yso.fi/onto/yso/p13097>	biomedicine
<http://www.yso.fi/onto/yso/p20713>	placental abruption
<http://www.yso.fi/onto/yso/p15600>	sign language users
<http://www.yso.fi/onto/yso/p110926>	Chemnitz
<http://www.yso.fi/onto/yso/p19418>	text publications
<http://www.yso.fi/onto/yso/p540>	correspondence schools
<http://www.yso.fi/onto/yso/p25866>	rotary ironers
<http://www.yso.fi/onto/yso/p6350>	cameras
<http://www.yso.fi/onto/yso/p13956>	mangas
<http://www.yso.fi/onto/yso/p38253>	crwth
<http://www.yso.fi/onto/yso/p17707>	stamping
<http://www.yso.fi/onto/yso/p25204>	movable platforms
<http://www.yso.fi/onto/yso/p10487>	JavaServlet
<http://www.yso.fi/onto/yso/p19411>	further processing
<http://www.yso.fi/onto/yso/p4813>	obstacles (inanimate objects)
<http://www.yso.fi/onto/yso/p24963>	region mayors
<http://www.yso.fi/onto/yso/p6783>	genetically modified organisms
<http://www.yso.fi/onto/yso/p23883>	psychokinesis
<http://www.yso.fi/onto/yso/p29410>	christening trees
<http://www.yso.fi/onto/yso/p13337>	Austroasiatic languages
<http://www.yso.fi/onto/yso/p2927>	positivism
<http://www.yso.fi/onto/yso/p16217>	practical mental nurses
<http://www.yso.fi/onto/yso/p28639>	type indexes
<http://www.yso.fi/onto/yso/p27118>	Imatra Big Band Festival
<http://www.yso.fi/onto/yso/p28485>	Abkhaz language
<http://www.yso.fi/onto/yso/p13685>	fermentation (metabolism)
<http://www.yso.fi/onto/yso/p2610>	spice plants
<http://www.yso.fi/onto/yso/p188397>	Suorttila (Laihia)
<http://www.yso.fi/onto/yso/p18910>	phytogeography
<http://www.yso.fi/onto/yso/p30063>	agogic
<http://www.yso.fi/onto/yso/p12120>	freemasons
<http://www.yso.fi/onto/yso/p16317>	steamboats
<http://www.yso.fi/onto/yso/p110198>	Honkajoki
<http://www.yso.fi/onto/yso/p197138>	Old Finland
<http://www.yso.fi/onto/yso/p21009>	Villa Cooper
<http://www.yso.fi/onto/yso/p2766>	lymphocytes
<http://www.yso.fi/onto/yso/p14547>	hammer throwers
<http://www.yso.fi/onto/yso/p1418>	interrail tourism
<http://www.yso.fi/onto/yso/p15109>	multi-language dictionaries
<http://www.yso.fi/onto/yso/p27141>	locks (hydraulic engineering)
<http://www.yso.fi/onto/yso/p14036>	insurance mathematics
<http://www.yso.fi/onto/yso/p5569>	networks (systems)
<http://www.yso.fi/onto/yso/p2764>	Microsoft Paint
<http://www.yso.fi/onto/yso/p6545>	audiovisual materials
<http://www.yso.fi/onto/yso/p22747>	time-series analysis
<http://www.yso.fi/onto/yso/p8130>	monitors (pupils)
<http://www.yso.fi/onto/yso/p29031>	erysipelas
<http://www.yso.fi/onto/yso/p19427>	genetic counselling
<http://www.yso.fi/onto/yso/p29944>	countertenors (singers)
<http://www.yso.fi/onto/yso/p309>	vertebrates
<http://www.yso.fi/onto/yso/p6450>	retouching
<http://www.yso.fi/onto/yso/p108436>	Ghent
<http://www.yso.fi/onto/yso/p29926>	psychobilly
<http://www.yso.fi/onto/yso/p13414>	participants' associations
<http://www.yso.fi/onto/yso/p29687>	uncultured manner
<http://www.yso.fi/onto/yso/p24614>	Swedish as a second language
<http://www.yso.fi/onto/yso/p28806>	Andi language
<http://www.yso.fi/onto/yso/p29625>	dissolving pulp
<http://www.yso.fi/onto/yso/p7093>	nutrition education
<http://www.yso.fi/onto/yso/p1748>	Yersinia bacteria
<http://www.yso.fi/onto/yso/p108223>	Joutsijärvi
<http://www.yso.fi/onto/yso/p29737>	book covers
<http://www.yso.fi/onto/yso/p11166>	view of people
<http://www.yso.fi/onto/yso/p3843>	relief work
<http://www.yso.fi/onto/yso/p29603>	Paloniemi manor
<http://www.yso.fi/onto/yso/p2808>	linguistic anthropology
<http://www.yso.fi/onto/yso/p18554>	swimming skills
<http://www.yso.fi/onto/yso/p12534>	acoustics (physical properties)
<http://www.yso.fi/onto/yso/p20826>	homosexuals
<http://www.yso.fi/onto/yso/p3329>	MEG
<http://www.yso.fi/onto/yso/p94289>	Mikkeli
<http://www.yso.fi/onto/yso/p9538>	establishing permanent employment
<http://www.yso.fi/onto/yso/p205516>	Akershus
<http://www.yso.fi/onto/yso/p110381>	Koskenpää
<http://www.yso.fi/onto/yso/p19117>	erratic boulders
<http://www.yso.fi/onto/yso/p108094>	Kuopion maalaiskunta
<http://www.yso.fi/onto/yso/p7951>	directors general
<http://www.yso.fi/onto/yso/p27865>	banded demoiselle
<http://www.yso.fi/onto/yso/p5053>	Wechsler adult intelligence scale
<http://www.yso.fi/onto/yso/p9575>	First World War
<http://www.yso.fi/onto/yso/p94199>	Kauniainen
<http://www.yso.fi/onto/yso/p179525>	Confederate States of America
<http://www.yso.fi/onto/yso/p13408>	music camps
<http://www.yso.fi/onto/yso/p17592>	judges
<http://www.yso.fi/onto/yso/p20213>	apraxia
<http://www.yso.fi/onto/yso/p14965>	energy tax
<http://www.yso.fi/onto/yso/p28172>	circus reviews
<http://www.yso.fi/onto/yso/p11354>	off-road cars
<http://www.yso.fi/onto/yso/p22138>	phonotactics
<http://www.yso.fi/onto/yso/p22089>	consortia
<http://www.yso.fi/onto/yso/p24225>	motor-ships
<http://www.yso.fi/onto/yso/p26161>	Koryak language
<http://www.yso.fi/onto/yso/p2084>	military branches
<http://www.yso.fi/onto/yso/p1086>	fuel tax
<http://www.yso.fi/onto/yso/p111725>	Western Finland Province
<http://www.yso.fi/onto/yso/p3273>	Old Academy House (Turku)
<http://www.yso.fi/onto/yso/p26943>	portrayal of the times
<http://www.yso.fi/onto/yso/p602>	Time of Music
<http://www.yso.fi/onto/yso/p26453>	institutional repositories
<http://www.yso.fi/onto/yso/p128093>	Vuontisjärvi
<http://www.yso.fi/onto/yso/p1116>	lecturers
<http://www.yso.fi/onto/yso/p21746>	Bomba festivals
<http://www.yso.fi/onto/yso/p19350>	Braille
<http://www.yso.fi/onto/yso/p145055>	Vaalimaa
<http://www.yso.fi/onto/yso/p94341>	Pörtom
<http://www.yso.fi/onto/yso/p25638>	designer drugs
<http://www.yso.fi/onto/yso/p16823>	chromatics
<http://www.yso.fi/onto/yso/p28667>	zero-hour contracts
<http://www.yso.fi/onto/yso/p8161>	fiancées and brides
<http://www.yso.fi/onto/yso/p18178>	riding instructors
<http://www.yso.fi/onto/yso/p15444>	Võro-Seto language
<http://www.yso.fi/onto/yso/p21124>	anchors
<http://www.yso.fi/onto/yso/p21936>	virotherapy
<http://www.yso.fi/onto/yso/p12367>	convenience food industry
<http://www.yso.fi/onto/yso/p12967>	SEMO
<http://www.yso.fi/onto/yso/p14611>	cross-sectional research
<http://www.yso.fi/onto/yso/p15212>	settlement of matters
<http://www.yso.fi/onto/yso/p21117>	hippocampus
<http://www.yso.fi/onto/yso/p27198>	sunscreens
<http://www.yso.fi/onto/yso/p4189>	workers
<http://www.yso.fi/onto/yso/p105088>	German Democratic Republic
<http://www.yso.fi/onto/yso/p11976>	guideline values
<http://www.yso.fi/onto/yso/p8343>	know-how
<http://www.yso.fi/onto/yso/p13073>	Adobe InDesign
<http://www.yso.fi/onto/yso/p16801>	amateur films
<http://www.yso.fi/onto/yso/p4277>	coffee
<http://www.yso.fi/onto/yso/p19937>	Prunellidae
<http://www.yso.fi/onto/yso/p16511>	public procurement
<http://www.yso.fi/onto/yso/p105265>	Melnikovo, Leningrad Oblast
<http://www.yso.fi/onto/yso/p20643>	environmental benefits
<http://www.yso.fi/onto/yso/p1490>	mental pictures
<http://www.yso.fi/onto/yso/p18668>	Enteromorpha
<http://www.yso.fi/onto/yso/p19030>	military comedies
<http://www.yso.fi/onto/yso/p7013>	aroma
<http://www.yso.fi/onto/yso/p5895>	sexual identity
<http://www.yso.fi/onto/yso/p21062>	YouTube
<http://www.yso.fi/onto/yso/p26224>	professional wrestling
<http://www.yso.fi/onto/yso/p27207>	plaiting and weaving
<http://www.yso.fi/onto/yso/p27387>	humanitarianism
<http://www.yso.fi/onto/yso/p8940>	false colour photography
<http://www.yso.fi/onto/yso/p23199>	youngest children
<http://www.yso.fi/onto/yso/p20316>	medium-term planning
<http://www.yso.fi/onto/yso/p105105>	Papua New Guinea
<http://www.yso.fi/onto/yso/p3737>	logos (symbols)
<http://www.yso.fi/onto/yso/p13644>	arranging
<http://www.yso.fi/onto/yso/p152>	rights
<http://www.yso.fi/onto/yso/p1341>	mouth and tooth diseases
<http://www.yso.fi/onto/yso/p107068>	Honduras
<http://www.yso.fi/onto/yso/p9302>	cell culture
<http://www.yso.fi/onto/yso/p19456>	rarities
<http://www.yso.fi/onto/yso/p109204>	Sierra Leone
<http://www.yso.fi/onto/yso/p27793>	structural social work
<http://www.yso.fi/onto/yso/p2356>	only child
<http://www.yso.fi/onto/yso/p8070>	brass instruments
<http://www.yso.fi/onto/yso/p16294>	chansons
<http://www.yso.fi/onto/yso/p11651>	impressionism
<http://www.yso.fi/onto/yso/p2243>	misconduct in office
<http://www.yso.fi/onto/yso/p18118>	beauty
<http://www.yso.fi/onto/yso/p25530>	WMS
<http://www.yso.fi/onto/yso/p3375>	Taistoism
<http://www.yso.fi/onto/yso/p29260>	bankers
<http://www.yso.fi/onto/yso/p12693>	grain storages of the crown
<http://www.yso.fi/onto/yso/p11129>	holiday homes
<http://www.yso.fi/onto/yso/p29983>	historical recordings
<http://www.yso.fi/onto/yso/p94245>	Kärsämäki
<http://www.yso.fi/onto/yso/p8287>	mechanisms
<http://www.yso.fi/onto/yso/p2819>	herders
<http://www.yso.fi/onto/yso/p4457>	customer work
<http://www.yso.fi/onto/yso/p187166>	Elberfeld
<http://www.yso.fi/onto/yso/p1444>	consumption research
<http://www.yso.fi/onto/yso/p1867>	Danes
<http://www.yso.fi/onto/yso/p192074>	Liinakhamari
<http://www.yso.fi/onto/yso/p27357>	search words
<http://www.yso.fi/onto/yso/p7117>	origamis
<http://www.yso.fi/onto/yso/p4802>	fishery
<http://www.yso.fi/onto/yso/p6363>	men's movements
<http://www.yso.fi/onto/yso/p108404>	Vadstena
<http://www.yso.fi/onto/yso/p11252>	programming environment
<http://www.yso.fi/onto/yso/p29703>	Battle of Waterloo
<http://www.yso.fi/onto/yso/p26966>	Vanhojen paloautojen päivä
<http://www.yso.fi/onto/yso/p7526>	Kanneltalo
<http://www.yso.fi/onto/yso/p38089>	findings (medicine)
<http://www.yso.fi/onto/yso/p20097>	wheelchair dance sports
<http://www.yso.fi/onto/yso/p7377>	retrievers
<http://www.yso.fi/onto/yso/p25059>	network management (leadership)
<http://www.yso.fi/onto/yso/p12633>	classification systems
<http://www.yso.fi/onto/yso/p1515>	compositions (music)
<http://www.yso.fi/onto/yso/p25195>	game characters
<http://www.yso.fi/onto/yso/p491>	artificial flowers
<http://www.yso.fi/onto/yso/p159902>	Varna
<http://www.yso.fi/onto/yso/p7581>	contact dermatitis
<http://www.yso.fi/onto/yso/p12215>	rational numbers
<http://www.yso.fi/onto/yso/p6639>	exile
<http://www.yso.fi/onto/yso/p7415>	distribution
<http://www.yso.fi/onto/yso/p6085>	methods of analysis
<http://www.yso.fi/onto/yso/p26348>	gastric dilatation volvulus
<http://www.yso.fi/onto/yso/p17035>	Eurocommunism
<http://www.yso.fi/onto/yso/p2758>	board games
<http://www.yso.fi/onto/yso/p1193>	offenders
<http://www.yso.fi/onto/yso/p5872>	PADS PowerPCB
<http://www.yso.fi/onto/yso/p200632>	Paimionlahti
<http://www.yso.fi/onto/yso/p20778>	fluorescent lamps
<http://www.yso.fi/onto/yso/p12713>	environment centres
<http://www.yso.fi/onto/yso/p17977>	election systems
<http://www.yso.fi/onto/yso/p21278>	animal food
<http://www.yso.fi/onto/yso/p109300>	Kiribati
<http://www.yso.fi/onto/yso/p3303>	salamanders
<http://www.yso.fi/onto/yso/p837>	programme services
<http://www.yso.fi/onto/yso/p14859>	anseriformes
<http://www.yso.fi/onto/yso/p8766>	salt (spices)
<http://www.yso.fi/onto/yso/p24498>	Peucedanum palustre
<http://www.yso.fi/onto/yso/p25687>	nutrition loading
<http://www.yso.fi/onto/yso/p17695>	exfoliative cytology
<http://www.yso.fi/onto/yso/p22009>	virtualisation
<http://www.yso.fi/onto/yso/p28297>	dental restoration
<http://www.yso.fi/onto/yso/p113531>	Lakhdenpokhya
<http://www.yso.fi/onto/yso/p25944>	generic substitution
<http://www.yso.fi/onto/yso/p4389>	being
<http://www.yso.fi/onto/yso/p22551>	business coaching
<http://www.yso.fi/onto/yso/p25299>	Eurasian pygmy owl
<http://www.yso.fi/onto/yso/p24616>	translation studies
<http://www.yso.fi/onto/yso/p25974>	educators (upbringing)
<http://www.yso.fi/onto/yso/p22288>	tatting
<http://www.yso.fi/onto/yso/p2730>	neck
<http://www.yso.fi/onto/yso/p7773>	car makes
<http://www.yso.fi/onto/yso/p8888>	Phoenician culture
<http://www.yso.fi/onto/yso/p9769>	saving
<http://www.yso.fi/onto/yso/p21532>	local government structure
<http://www.yso.fi/onto/yso/p4901>	industrialisation
<http://www.yso.fi/onto/yso/p8820>	military alliances
<http://www.yso.fi/onto/yso/p4008>	human figure
<http://www.yso.fi/onto/yso/p27918>	self-help literature
<http://www.yso.fi/onto/yso/p10119>	endurancere
<http://www.yso.fi/onto/yso/p17984>	Moomins
<http://www.yso.fi/onto/yso/p27013>	lesbians
<http://www.yso.fi/onto/yso/p15630>	aphorisms
<http://www.yso.fi/onto/yso/p2812>	labour protection administration
<http://www.yso.fi/onto/yso/p21039>	innovation (activity)
<http://www.yso.fi/onto/yso/p19438>	romantic tales
<http://www.yso.fi/onto/yso/p29664>	cozy mysteries
<http://www.yso.fi/onto/yso/p23299>	goldfish
<http://www.yso.fi/onto/yso/p28828>	events related to mutual activity
<http://www.yso.fi/onto/yso/p29111>	loggerhead turtle
<http://www.yso.fi/onto/yso/p105815>	Mali
<http://www.yso.fi/onto/yso/p24965>	macular degeneration
<http://www.yso.fi/onto/yso/p3929>	tasks
<http://www.yso.fi/onto/yso/p10715>	state secretaries
<http://www.yso.fi/onto/yso/p25178>	microwave heating
<http://www.yso.fi/onto/yso/p7778>	anointment (religion)
<http://www.yso.fi/onto/yso/p12409>	factories
<http://www.yso.fi/onto/yso/p9739>	beech
<http://www.yso.fi/onto/yso/p4350>	electromagnetic induction
<http://www.yso.fi/onto/yso/p18295>	special diets
<http://www.yso.fi/onto/yso/p13435>	microprocessors
<http://www.yso.fi/onto/yso/p25075>	grand tour
<http://www.yso.fi/onto/yso/p28417>	children's choirs
<http://www.yso.fi/onto/yso/p15148>	great crested grebe
<http://www.yso.fi/onto/yso/p12676>	collections
<http://www.yso.fi/onto/yso/p29883>	training and exercise materials
<http://www.yso.fi/onto/yso/p27621>	lace trims
<http://www.yso.fi/onto/yso/p28272>	fruitarianism
<http://www.yso.fi/onto/yso/p11361>	titanium ores
<http://www.yso.fi/onto/yso/p357>	city sectors
<http://www.yso.fi/onto/yso/p24859>	columbariums
<http://www.yso.fi/onto/yso/p11849>	people integrated into working life
<http://www.yso.fi/onto/yso/p167868>	Lund
<http://www.yso.fi/onto/yso/p5993>	energy resources
<http://www.yso.fi/onto/yso/p22645>	baldness
<http://www.yso.fi/onto/yso/p20131>	military medicine
<http://www.yso.fi/onto/yso/p19028>	ketchup
<http://www.yso.fi/onto/yso/p6879>	literary prizes
<http://www.yso.fi/onto/yso/p15009>	government agencies
<http://www.yso.fi/onto/yso/p2101>	base quantities
<http://www.yso.fi/onto/yso/p27258>	preparation to commit an offence
<http://www.yso.fi/onto/yso/p6763>	perspective
<http://www.yso.fi/onto/yso/p15967>	masers
<http://www.yso.fi/onto/yso/p6566>	relocation
<http://www.yso.fi/onto/yso/p19224>	Silurus glanis
<http://www.yso.fi/onto/yso/p12816>	conscripts (military)
<http://www.yso.fi/onto/yso/p2473>	Bretons
<http://www.yso.fi/onto/yso/p20467>	Konevsky Monastery
<http://www.yso.fi/onto/yso/p19001>	live action role-playing games
<http://www.yso.fi/onto/yso/p17407>	Arabidopsis thaliana
<http://www.yso.fi/onto/yso/p11952>	electronic art
<http://www.yso.fi/onto/yso/p38016>	artistic conventions
<http://www.yso.fi/onto/yso/p25369>	Acipenser sturio
<http://www.yso.fi/onto/yso/p11211>	Ladoga ringed seal
<http://www.yso.fi/onto/yso/p8238>	Ulmaceae
<http://www.yso.fi/onto/yso/p15994>	theory of knowledge
<http://www.yso.fi/onto/yso/p11621>	plant cuttings
<http://www.yso.fi/onto/yso/p25833>	performance audit
<http://www.yso.fi/onto/yso/p4962>	vitamins
<http://www.yso.fi/onto/yso/p192076>	Nikkilä
<http://www.yso.fi/onto/yso/p3888>	expenditures
<http://www.yso.fi/onto/yso/p8030>	choice of subjects
<http://www.yso.fi/onto/yso/p28164>	crossover literature
<http://www.yso.fi/onto/yso/p19897>	Microsoft Image Composer
<http://www.yso.fi/onto/yso/p26449>	lung transplantation
<http://www.yso.fi/onto/yso/p5070>	orchestras
<http://www.yso.fi/onto/yso/p17936>	Düsseldorf school of painting
<http://www.yso.fi/onto/yso/p27410>	metal detectors
<http://www.yso.fi/onto/yso/p38263>	parathyroid glands
<http://www.yso.fi/onto/yso/p19928>	German pointer
<http://www.yso.fi/onto/yso/p27906>	production plants
<http://www.yso.fi/onto/yso/p11305>	cocaine
<http://www.yso.fi/onto/yso/p3110>	yin and yang
<http://www.yso.fi/onto/yso/p108984>	Martinlaakso
<http://www.yso.fi/onto/yso/p17018>	exercise games
<http://www.yso.fi/onto/yso/p94467>	Vaasa Province
<http://www.yso.fi/onto/yso/p11883>	display controllers
<http://www.yso.fi/onto/yso/p16122>	church pensions
<http://www.yso.fi/onto/yso/p94230>	Kuhmoinen
<http://www.yso.fi/onto/yso/p17759>	keys (tone systems)
<http://www.yso.fi/onto/yso/p12801>	block heating
<http://www.yso.fi/onto/yso/p22294>	walking poles
<http://www.yso.fi/onto/yso/p16777>	Labrador retriever
<http://www.yso.fi/onto/yso/p18374>	Aryans
<http://www.yso.fi/onto/yso/p5649>	political crimes
<http://www.yso.fi/onto/yso/p13994>	vehicle technology
<http://www.yso.fi/onto/yso/p21848>	culture vouchers
<http://www.yso.fi/onto/yso/p26766>	cavitation
<http://www.yso.fi/onto/yso/p14787>	waste gases
<http://www.yso.fi/onto/yso/p16724>	presenters
<http://www.yso.fi/onto/yso/p17312>	heads of fire department
<http://www.yso.fi/onto/yso/p9092>	card tricks
<http://www.yso.fi/onto/yso/p24607>	printing (output)
<http://www.yso.fi/onto/yso/p25716>	radio series
<http://www.yso.fi/onto/yso/p26881>	Lapila manor
<http://www.yso.fi/onto/yso/p21071>	explicit knowledge
<http://www.yso.fi/onto/yso/p9686>	fasting
<http://www.yso.fi/onto/yso/p20791>	tempo
<http://www.yso.fi/onto/yso/p15132>	calculation of interest
<http://www.yso.fi/onto/yso/p9670>	video cameras
<http://www.yso.fi/onto/yso/p29720>	Ichneumonidae
<http://www.yso.fi/onto/yso/p24064>	competence
<http://www.yso.fi/onto/yso/p22456>	psychiatric nurses
<http://www.yso.fi/onto/yso/p6100>	coaches (cars)
<http://www.yso.fi/onto/yso/p108417>	Mediterranean Sea
<http://www.yso.fi/onto/yso/p26696>	cystic fibrosis
<http://www.yso.fi/onto/yso/p7359>	music education
<http://www.yso.fi/onto/yso/p5836>	meetinghouses
<http://www.yso.fi/onto/yso/p2163>	compact discs
<http://www.yso.fi/onto/yso/p209895>	Noricum
<http://www.yso.fi/onto/yso/p16638>	harp
<http://www.yso.fi/onto/yso/p2950>	abandonment (depopulation)
<http://www.yso.fi/onto/yso/p8157>	oats
<http://www.yso.fi/onto/yso/p26235>	4G technology
<http://www.yso.fi/onto/yso/p16682>	differential geometry
<http://www.yso.fi/onto/yso/p12513>	continental glacier
<http://www.yso.fi/onto/yso/p24942>	Framework Convention on Tobacco Control
<http://www.yso.fi/onto/yso/p20014>	Sveaborg Rebellion
<http://www.yso.fi/onto/yso/p13379>	Act on Commercial Representatives and Salesmen
<http://www.yso.fi/onto/yso/p38134>	Abenaki Indians
<http://www.yso.fi/onto/yso/p21644>	endophytes
<http://www.yso.fi/onto/yso/p20013>	labour museums
<http://www.yso.fi/onto/yso/p30144>	licks
<http://www.yso.fi/onto/yso/p21410>	Act on Co-operation within Undertakings
<http://www.yso.fi/onto/yso/p17655>	Laukko manor
<http://www.yso.fi/onto/yso/p27048>	tissue engineering
<http://www.yso.fi/onto/yso/p15303>	occlusion (dentistry)
<http://www.yso.fi/onto/yso/p204784>	Vanttausjärvi
<http://www.yso.fi/onto/yso/p9026>	vegetarianism
<http://www.yso.fi/onto/yso/p7561>	good taste
<http://www.yso.fi/onto/yso/p22859>	minivans
<http://www.yso.fi/onto/yso/p9253>	Ada
<http://www.yso.fi/onto/yso/p105573>	Turkey
<http://www.yso.fi/onto/yso/p2366>	health care personnel
<http://www.yso.fi/onto/yso/p11431>	initials
<http://www.yso.fi/onto/yso/p13324>	Entlebucher mountain dog
<http://www.yso.fi/onto/yso/p29083>	legal anticipation
<http://www.yso.fi/onto/yso/p30017>	western swing
<http://www.yso.fi/onto/yso/p30056>	West Coast jazz
<http://www.yso.fi/onto/yso/p11757>	get-togethers
<http://www.yso.fi/onto/yso/p8442>	abdomen
<http://www.yso.fi/onto/yso/p507>	peacekeeping
<http://www.yso.fi/onto/yso/p27960>	wardrobe supervisors
<http://www.yso.fi/onto/yso/p22484>	patient magazines
<http://www.yso.fi/onto/yso/p20921>	carcases
<http://www.yso.fi/onto/yso/p12799>	uterine cancer
<http://www.yso.fi/onto/yso/p21030>	witness protection
<http://www.yso.fi/onto/yso/p14165>	trigonometric functions
<http://www.yso.fi/onto/yso/p80>	pulp fiction
<http://www.yso.fi/onto/yso/p7221>	computer-assisted learning
<http://www.yso.fi/onto/yso/p135374>	Ölmos
<http://www.yso.fi/onto/yso/p23398>	Convention on the Conservation of Migratory Species of Wild Animals
<http://www.yso.fi/onto/yso/p24542>	Porlammi manor
<http://www.yso.fi/onto/yso/p13872>	disco dances
<http://www.yso.fi/onto/yso/p132519>	Lake Peipus
<http://www.yso.fi/onto/yso/p2871>	origin (event)
<http://www.yso.fi/onto/yso/p11759>	DQL
<http://www.yso.fi/onto/yso/p5537>	legal protection
<http://www.yso.fi/onto/yso/p174405>	Peipohja
<http://www.yso.fi/onto/yso/p13862>	town and city councils
<http://www.yso.fi/onto/yso/p20441>	muscular dystrophies
<http://www.yso.fi/onto/yso/p6583>	power of decision
<http://www.yso.fi/onto/yso/p24763>	botulinum toxin treatment
<http://www.yso.fi/onto/yso/p6125>	speech sounds
<http://www.yso.fi/onto/yso/p13243>	labour-movement songs
<http://www.yso.fi/onto/yso/p13933>	freelance workers
<http://www.yso.fi/onto/yso/p15720>	inequalities (mathematics)
<http://www.yso.fi/onto/yso/p22251>	Ilopuro manor
<http://www.yso.fi/onto/yso/p29146>	pseudoscorpions
<http://www.yso.fi/onto/yso/p147471>	Alpua
<http://www.yso.fi/onto/yso/p8814>	geochemical geomedicine
<http://www.yso.fi/onto/yso/p28262>	sous-vide cooking
<http://www.yso.fi/onto/yso/p5734>	physicalism (philosophy)
<http://www.yso.fi/onto/yso/p26304>	speech development
<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p22063>	bank robberies
<http://www.yso.fi/onto/yso/p19018>	godparents
<http://www.yso.fi/onto/yso/p5764>	operationalism
<http://www.yso.fi/onto/yso/p17179>	urban environment
<http://www.yso.fi/onto/yso/p23336>	landscape history
<http://www.yso.fi/onto/yso/p158726>	Phnom Penh
<http://www.yso.fi/onto/yso/p29924>	bootlegs
<http://www.yso.fi/onto/yso/p22347>	walking (mode of transport)
<http://www.yso.fi/onto/yso/p20922>	emigrant literature
<http://www.yso.fi/onto/yso/p159117>	Weimar Republic
<http://www.yso.fi/onto/yso/p19008>	Jyväskylän suojeluskuntatalo
<http://www.yso.fi/onto/yso/p24996>	arable energy
<http://www.yso.fi/onto/yso/p28541>	Oscan language
<http://www.yso.fi/onto/yso/p14945>	kinkerit
<http://www.yso.fi/onto/yso/p18741>	dance teachers
<http://www.yso.fi/onto/yso/p21456>	black Russian terrier
